ID,price_doc
100001,6000000
100002,6333333.333
100003,18300000
100004,5098000
100005,5500000
100006,5500010
100007,9950000
100008,5737674.989
100009,2630000
100010,4550000
100011,7419872.672
100012,7800000
100013,990040
100014,500000
100015,3066666.667
100016,6319640.42
100017,1500000
100018,4600000
100019,7050000
100020,1000000
100021,6450000
100022,4998000
100023,4400000
100024,11900000
100025,18000000
100026,6150000
100027,5750000
100028,6200000
100029,5500000
100030,5000000
100031,6200000
100032,8800000
100033,1000000
100034,5300000
100035,1000000
100036,6400000
100037,8750000
100038,8309333.333
100039,5300000
100040,6000000
100041,9460000
100042,4600000
100043,9150000
100044,1000000
100045,1000000
100046,4500000
100047,5500000
100048,7000000
100049,2333333.333
100050,5300000
100051,1000000
100052,4400000
100053,7150000
100054,3900000
100055,4900000
100056,10500000
100057,9344000
100058,6000000
100059,998000
100060,5344000
100061,1007833.333
100062,5908573.197
100063,4700000
100064,5938922.187
100065,1000600
100066,6000000
100067,4645109
100068,5401514
100069,10500000
100070,5625000
100071,15000000
100072,5200000
100073,5650000
100074,5500000
100075,5800000
100076,4250000
100077,1000000
100078,7200000
100079,4500000
100080,10188000
100081,4998000
100082,5200000
100083,9100000
100084,1000000
100085,2612500
100086,4150000
100087,5000000
100088,5800000
100089,6200000
100090,4900000
100091,6350000
100092,7400000
100093,4250500
100094,500000
100095,7033333.333
100096,1100000
100097,11400000
100098,8300000
100099,7950000
100100,8400000
100101,3965000
100102,5200000
100103,5450000
100104,7900000
100105,6050000
100106,4000000
100107,4500000
100108,5495850
100109,9000000
100110,4200000
100111,7000000
100112,9500000
100113,12186207
100114,6950000
100115,5000000
100116,10900000
100117,4300000
100118,8130000
100119,6700000
100120,3000000
100121,6050000
100122,4600000
100123,990000
100124,4800000
100125,18237600
100126,6100000
100127,2000000
100128,6523800
100129,5150000
100130,5700000
100131,5500000
100132,15450000
100133,999900
100134,30000000
100135,1000000
100136,4700000
100137,6200000
100138,7000000
100139,4680000
100140,5200000
100141,1200000
100142,995000
100143,6700000
100144,28000000
100145,16000000
100146,11522618
100147,30975000
100148,3833333.333
100149,12000000
100150,10578882.5
100151,2688888.889
100152,5550000
100153,1000000
100154,11500000
100155,2000000
100156,4850500
100157,4600000
100158,3800000
100159,2450000
100160,990000
100161,7700000
100162,5600000
100163,5700000
100164,10884285.71
100165,2000000
100166,5000000
100167,1333333
100168,4300000
100169,5800000
100170,5200000
100171,8500000
100172,4500000
100173,5000000
100174,8266666.667
100175,8400000
100176,5400000
100177,5500000
100178,5200000
100179,6000000
100180,6750000
100181,8716666.667
100182,8500000
100183,6666666.667
100184,5662144
100185,6000000
100186,5050000
100187,6000000
100188,11000000
100189,6700000
100190,14000000
100191,4800000
100192,4400000
100193,1412659.553
100194,17400000
100195,12148049.13
100196,12220560
100197,1000000
100198,2700000
100199,2612500
100200,7038000
100201,6950000
100202,5300000
100203,14500000
100204,4900600
100205,5700500
100206,5350000
100207,2000000
100208,1830000
100209,6200000
100210,6515154
100211,6300000
100212,1000000
100213,7716666.667
100214,1050000
100215,9125300
100216,7700000
100217,8700000
100218,8650000
100219,10200000
100220,6245000
100221,4500000
100222,5500000
100223,3900000
100224,6500000
100225,12503000
100226,16000000
100227,7500000
100228,7600000
100229,5050000
100230,4800000
100231,21200000
100232,5700000
100233,8651470
100234,5400000
100235,10300000
100236,4300000
100237,7000000
100238,3950000
100239,6800000
100240,6520000
100241,12560080
100242,5700000
100243,2600000
100244,10000000
100245,6900000
100246,8400000
100247,8300000
100248,4081770
100249,10800000
100250,5750000
100251,4154988.182
100252,10700000
100253,4666666.667
100254,4052000
100255,10165220
100256,3000000
100257,9300000
100258,9300000
100259,6400000
100260,5755869.336
100261,12850000
100262,5300000
100263,1000000
100264,10420000
100265,6200000
100266,5650000
100267,6100000
100268,7017500
100269,5900000
100270,7950000
100271,6868000
100272,5100000
100273,6816666.667
100274,3600000
100275,5800000
100276,6600000
100277,4750000
100278,5250000
100279,10000000
100280,10955812.33
100281,5670000
100282,2000000
100283,6300000
100284,6525000
100285,8600000
100286,9500000
100287,3000000
100288,6500000
100289,8300000
100290,6600000
